G0 [W],Sommer Werktag,Fall/Spring Sonntag,Winter Samstag,Scaled Sommer,Scaled Spring,Scaled Winter
00:15,71.5,68.3,70,0.341125954,0.325858779,0.333969466
00:30,69,66.5,73,0.329198473,0.317270992,0.348282443
00:45,66.3,64.6,75.9,0.316316794,0.308206107,0.362118321
01:00,63.5,62.6,77.6,0.302958015,0.298664122,0.370229008
01:15,60.9,60.3,77.1,0.290553435,0.28769084,0.367843511
01:30,58.6,57.9,75,0.279580153,0.276240458,0.357824427
01:45,56.6,55.5,72.1,0.270038168,0.264790076,0.34398855
02:00,55.1,53.3,69.1,0.262881679,0.254293893,0.329675573
02:15,54.2,51.2,66.8,0.258587786,0.244274809,0.31870229
02:30,53.7,49.5,65.1,0.25620229,0.236164122,0.310591603
02:45,53.4,48,64.1,0.254770992,0.229007634,0.305820611
03:00,53.3,46.7,63.5,0.254293893,0.222805344,0.302958015
03:15,53.1,45.7,63.4,0.253339695,0.218034351,0.302480916
03:30,53.2,44.9,63.6,0.253816794,0.214217557,0.303435115
03:45,54.1,44.3,64,0.258110687,0.211354962,0.305343511
04:00,56.1,43.9,64.5,0.267652672,0.209446565,0.307729008
04:15,59.4,43.6,65,0.283396947,0.208015267,0.310114504
04:30,63.3,43.5,65.6,0.302003817,0.207538168,0.312977099
04:45,67.2,43.6,66.3,0.320610687,0.208015267,0.316316794
05:00,70.1,43.9,67.3,0.334446565,0.209446565,0.321087786
05:15,71.4,44.5,68.5,0.340648855,0.21230916,0.326812977
05:30,71.6,45.1,69.9,0.341603053,0.215171756,0.333492366
05:45,71.2,45.6,71.4,0.339694656,0.217557252,0.340648855
06:00,71,45.8,72.9,0.338740458,0.21851145,0.347805344
06:15,71.5,45.6,74.4,0.341125954,0.217557252,0.354961832
06:30,73.1,45.3,76.8,0.348759542,0.216125954,0.366412214
06:45,75.9,45.2,81,0.362118321,0.215648855,0.386450382
07:00,80.4,45.8,87.8,0.383587786,0.21851145,0.41889313
07:15,86.6,47.2,98,0.413167939,0.22519084,0.467557252
07:30,95.1,49.1,110.7,0.453721374,0.234255725,0.528148855
07:45,106.3,51,124.8,0.507156489,0.243320611,0.595419847
08:00,120.5,52.3,139.2,0.57490458,0.249522901,0.664122137
08:15,137.8,52.8,153,0.657442748,0.251908397,0.729961832
08:30,156.3,52.9,165.4,0.745706107,0.252385496,0.789122137
08:45,173.4,53.1,175.9,0.827290076,0.253339695,0.839217557
09:00,186.9,54.2,184.1,0.891698473,0.258587786,0.878339695
09:15,195,56.4,189.5,0.930343511,0.269083969,0.904103053
09:30,198.7,59.5,192.8,0.947996183,0.283874046,0.919847328
09:45,199.8,62.7,195.1,0.953244275,0.299141221,0.930820611
10:00,200,65.4,197.1,0.954198473,0.312022901,0.940362595
10:15,200.6,67.2,199.8,0.957061069,0.320610687,0.953244275
10:30,201.9,68.5,202.7,0.963263359,0.326812977,0.967080153
10:45,203.6,69.6,205.4,0.971374046,0.332061069,0.979961832
11:00,205.6,71,207.4,0.980916031,0.338740458,0.989503817
11:15,207.6,73.1,208.4,0.990458015,0.348759542,0.994274809
11:30,209.1,75.6,208.3,0.997614504,0.360687023,0.99379771
11:45,209.6,78.2,207.4,1,0.373091603,0.989503817
12:00,208.4,80.4,205.6,0.994274809,0.383587786,0.980916031
12:15,205.1,81.9,203,0.978530534,0.390744275,0.96851145
12:30,200,82.8,199.7,0.954198473,0.395038168,0.952767176
12:45,193.8,83.2,195.6,0.924618321,0.396946565,0.933206107
13:00,186.9,83.2,190.6,0.891698473,0.396946565,0.909351145
13:15,179.9,82.8,184.6,0.858301527,0.395038168,0.880725191
13:30,173.4,82.1,177.5,0.827290076,0.391698473,0.846851145
13:45,168.1,80.9,168.9,0.802003817,0.385973282,0.805820611
14:00,164.4,79.4,158.8,0.784351145,0.378816794,0.757633588
14:15,163,77.5,147.2,0.777671756,0.369751908,0.702290076
14:30,163.5,75.3,134.8,0.780057252,0.359255725,0.643129771
14:45,165.4,73.1,122.7,0.789122137,0.348759542,0.585400763
15:00,168.2,71,112.1,0.802480916,0.338740458,0.534828244
15:15,171.5,69.2,103.8,0.818225191,0.330152672,0.495229008
15:30,174.6,67.6,97.4,0.833015267,0.322519084,0.464694656
15:45,177.2,66.1,92.6,0.845419847,0.315362595,0.441793893
16:00,178.5,64.5,88.8,0.851622137,0.307729008,0.423664122
16:15,178.2,62.8,85.6,0.85019084,0.299618321,0.408396947
16:30,176.8,61.5,83.3,0.84351145,0.293416031,0.397423664
16:45,175.1,61.2,82.4,0.835400763,0.291984733,0.393129771
17:00,173.8,62.6,83.2,0.829198473,0.298664122,0.396946565
17:15,173.2,65.9,85.8,0.826335878,0.314408397,0.409351145
17:30,172.4,70.4,89.5,0.822519084,0.335877863,0.427003817
17:45,170.2,75,93.4,0.812022901,0.357824427,0.445610687
18:00,165.4,78.5,96.2,0.789122137,0.374522901,0.458969466
18:15,157.1,80.1,97.4,0.749522901,0.382156489,0.464694656
18:30,146.1,80.4,97.4,0.697041985,0.383587786,0.464694656
18:45,133.8,80.2,96.8,0.638358779,0.382633588,0.461832061
19:00,121.5,80.4,96.2,0.579675573,0.383587786,0.458969466
19:15,110.1,81.4,96.3,0.52528626,0.388358779,0.459446565
19:30,100.5,83.1,96.8,0.479484733,0.396469466,0.461832061
19:45,93.2,85.1,97.2,0.444656489,0.40601145,0.463740458
20:00,88.8,86.9,97.2,0.423664122,0.414599237,0.463740458
20:15,87.4,88.1,96.3,0.416984733,0.420324427,0.459446565
20:30,88.1,88.7,94.8,0.420324427,0.423187023,0.452290076
20:45,89.6,88.6,92.8,0.427480916,0.422709924,0.442748092
21:00,90.6,87.8,90.6,0.432251908,0.41889313,0.432251908
21:15,90.2,86.4,88.5,0.430343511,0.41221374,0.422232824
21:30,88.5,84.4,86.4,0.422232824,0.402671756,0.41221374
21:45,86.3,82,84.3,0.411736641,0.391221374,0.402194656
22:00,84.1,79.4,82.2,0.401240458,0.378816794,0.392175573
22:15,82.4,76.7,80.1,0.393129771,0.365935115,0.382156489
22:30,81.2,74.1,78,0.38740458,0.353530534,0.372137405
22:45,80.3,71.5,75.9,0.383110687,0.341125954,0.362118321
23:00,79.4,69.1,73.8,0.378816794,0.329675573,0.352099237
23:15,78.4,67,71.7,0.374045802,0.319656489,0.342080153
23:30,77.2,65.3,69.7,0.368320611,0.311545802,0.332538168
23:45,75.7,64.1,67.6,0.361164122,0.305820611,0.322519084
00:00,73.8,63.5,65.4,0.352099237,0.302958015,0.312022901
