H0 [W],Sommer Werktag,Fall/Spring Sonntag,Winter Samstag,Scaled Sommer,Scaled Spring,Scaled Winter
00:15,86.3,93.4,70.8,0.404215457,0.437470726,0.331615925
00:30,76.9,86.8,68.2,0.360187354,0.406557377,0.319437939
00:45,68.8,81.2,65.9,0.322248244,0.380327869,0.308665105
01:00,62.4,75.7,63.3,0.292271663,0.354566745,0.296487119
01:15,58,70.1,59.5,0.271662763,0.328337237,0.278688525
01:30,55.3,64.5,55,0.259016393,0.302107728,0.257611241
01:45,53.6,59.3,50.5,0.251053864,0.277751756,0.236533958
02:00,52.4,54.9,46.6,0.245433255,0.257142857,0.218266979
02:15,51.3,51.7,43.9,0.24028103,0.242154567,0.205620609
02:30,50.3,49.4,42.3,0.23559719,0.231381733,0.198126464
02:45,49.2,47.8,41.4,0.230444965,0.223887588,0.193911007
03:00,48.3,46.6,40.8,0.226229508,0.218266979,0.191100703
03:15,47.5,45.5,40.3,0.222482436,0.213114754,0.188758782
03:30,46.9,44.5,39.9,0.219672131,0.208430913,0.186885246
03:45,46.5,43.8,39.5,0.217798595,0.205152225,0.18501171
04:00,46.6,43.3,39.1,0.218266979,0.202810304,0.183138173
04:15,47.1,43.1,38.8,0.220608899,0.201873536,0.181733021
04:30,48,43.1,38.5,0.224824356,0.201873536,0.180327869
04:45,49.3,43.2,38.3,0.230913349,0.20234192,0.179391101
05:00,50.8,43.3,38.3,0.23793911,0.202810304,0.179391101
05:15,52.7,43.3,38.5,0.246838407,0.202810304,0.180327869
05:30,55.6,43.3,39.1,0.260421546,0.202810304,0.183138173
05:45,60.5,43.2,40.3,0.283372365,0.20234192,0.188758782
06:00,68.2,43.3,42.4,0.319437939,0.202810304,0.198594848
06:15,79.2,43.5,45.6,0.370960187,0.203747073,0.213583138
06:30,92,44.3,49.9,0.430913349,0.207494145,0.233723653
06:45,104.7,46,55.3,0.490398126,0.215456674,0.259016393
07:00,115.7,49.1,61.6,0.541920375,0.229976581,0.28852459
07:15,123.5,53.9,68.9,0.578454333,0.252459016,0.322716628
07:30,128.6,60.4,77.1,0.60234192,0.282903981,0.361124122
07:45,132,68.8,86.1,0.618266979,0.322248244,0.403278689
08:00,134.8,79.1,95.7,0.631381733,0.370491803,0.44824356
08:15,137.8,91.1,105.8,0.645433255,0.426697892,0.495550351
08:30,140.7,104.3,115.8,0.659016393,0.48852459,0.542388759
08:45,143.2,118,124.9,0.670725995,0.552693208,0.58501171
09:00,144.8,131.5,132.3,0.678220141,0.615925059,0.619672131
09:15,145.3,144.2,137.6,0.680562061,0.675409836,0.644496487
09:30,144.9,155.5,141.1,0.678688525,0.728337237,0.66088993
09:45,143.8,165.3,143.3,0.6735363,0.774238876,0.671194379
