Time[min],PV [MWh],Wind[MWh],PV Scaled,Wind_Scaled
12:15 AM,0.00,1374.25,0,0.086409079
12:30 AM,0.00,1348.25,0,0.084774271
12:45 AM,0.00,1334.75,0,0.083925428
1:00 AM,0.00,1347.75,0,0.084742832
1:15 AM,0.00,1346.75,0,0.084679955
1:30 AM,0.00,1350.5,0,0.084915744
1:45 AM,0.00,1351.5,0,0.084978622
2:00 AM,0.00,1350.25,0,0.084900025
2:15 AM,0.00,1302.25,0,0.081881916
2:30 AM,0.00,1256.5,0,0.079005282
2:45 AM,0.00,1213.25,0,0.07628584
3:00 AM,0.00,1208.75,0,0.076002892
3:15 AM,0.00,1192.75,0,0.074996856
3:30 AM,0.00,1189.5,0,0.074792505
3:45 AM,0.00,1156.25,0,0.072701836
4:00 AM,0.00,1132,0,0.071177062
4:15 AM,0.00,1111.25,0,0.069872359
4:30 AM,0.00,1071.25,0,0.067357269
4:45 AM,0.25,1059.75,0,0.06663418
5:00 AM,6.25,1037.5,0.000432945,0.065235161
5:15 AM,24.75,1010.5,0.001714464,0.063537475
5:30 AM,59.25,996.5,0.004104323,0.062657193
5:45 AM,131.00,966.25,0.009074536,0.060755156
6:00 AM,239.75,924.5,0.016607786,0.05813003
6:15 AM,381.50,878.75,0.026426988,0.055253395
6:30 AM,566.00,836.25,0.039207537,0.052581112
6:45 AM,815.00,767.25,0.056456082,0.04824258
"7:00 AM,""1,123.25"",697.75,0.07780895,0.043872611"
"7:15 AM,""1,507.50"",618,0.104426434,0.038858149"
"7:30 AM,""1,901.25"",521,0.131701995,0.032759054"
"7:45 AM,""2,328.75"",427,0.161315461,0.026848592"
"8:00 AM,""2,811.25"",350,0.194738847,0.022007042"
"8:15 AM,""3,308.00"",264.75,0.229149349,0.016646756"
"8:30 AM,""3,839.00"",204.75,0.265932391,0.01287412"
"8:45 AM,""4,368.00"",165.75,0.302576891,0.010421906"
"9:00 AM,""4,886.00"",144.5,0.338459407,0.009085765"
"9:15 AM,""5,367.50"",137.5,0.371813522,0.008645624"
"9:30 AM,""5,849.00"",139,0.405167636,0.00873994"
"9:45 AM,""6,305.50"",143.25,0.43678997,0.009007168"
"10:00 AM,""6,711.50"",151.75,0.464914104,0.009541625"
"10:15 AM,""7,093.00"",161,0.491341092,0.010123239"
"10:30 AM,""7,439.00"",164.75,0.51530895,0.010359029"
"10:45 AM,""7,723.75"",165.5,0.535033943,0.010406187"
"11:00 AM,""7,966.50"",167.75,0.551849543,0.010547661"
"11:15 AM,""8,183.25"",173,0.56686409,0.010877767"
"11:30 AM,""8,376.50"",173.25,0.580250762,0.010893486"
"11:45 AM,""8,587.25"",175,0.594849681,0.011003521"
"12:00 PM,""8,748.25"",168,0.606002355,0.01056338"
"12:15 PM,""8,900.25"",166,0.616531588,0.010437626"
"12:30 PM,""9,038.50"",157.75,0.62610834,0.009918888"
"12:45 PM,""9,130.50"",159.25,0.632481297,0.010013204"
"1:00 PM,""9,191.00"",163,0.636672208,0.010248994"
"1:15 PM,""9,198.50"",168.25,0.637191743,0.0105791"
"1:30 PM,""9,164.50"",181,0.63483652,0.011380785"
"1:45 PM,""9,151.75"",193.75,0.633953311,0.01218247"
"2:00 PM,""9,085.75"",206.25,0.629381408,0.012968436"
"2:15 PM,""8,983.25"",215.25,0.622281103,0.013534331"
"2:30 PM,""8,855.75"",225.5,0.613449016,0.014178823"
