End,Photovoltaics [MWh],Wind[MWh],PV Scaled,Wind Scaled
12:15 AM,0.00,3602.25,0,0.057109677
12:30 AM,0.00,3538,0,0.056091065
12:45 AM,0.00,3464,0,0.054917877
1:00 AM,0.00,3463.75,0,0.054913913
1:15 AM,0.00,3465.75,0,0.054945621
1:30 AM,0.00,3443.25,0,0.054588909
1:45 AM,0.00,3389.25,0,0.053732799
2:00 AM,0.00,3375.5,0,0.053514808
2:15 AM,0.00,3364.25,0,0.053336451
2:30 AM,0.00,3320.25,0,0.05263888
2:45 AM,0.00,3253.75,0,0.051584596
3:00 AM,0.00,3208,0,0.050859281
3:15 AM,0.00,3119.75,0,0.049460175
3:30 AM,0.00,3064.5,0,0.048584248
3:45 AM,0.00,2982.25,0,0.047280265
4:00 AM,0.00,2910.75,0,0.046146712
4:15 AM,0.00,2824.75,0,0.044783277
4:30 AM,0.00,2746.5,0,0.04354271
4:45 AM,0.00,2661,0,0.042187203
5:00 AM,0.00,2577.25,0,0.040859439
5:15 AM,0.00,2507.75,0,0.039757594
5:30 AM,0.00,2448.25,0,0.038814288
5:45 AM,0.00,2391,0,0.037906652
6:00 AM,0.00,2330.5,0,0.036947492
6:15 AM,3.00,2267.75,5.19534E-05,0.03595266
6:30 AM,24.25,2186,0.000419957,0.034656605
6:45 AM,84.25,2121.5,0.001459026,0.033634029
7:00 AM,237.75,2075.5,0.004117311,0.03290475
7:15 AM,489.25,1978.25,0.008472742,0.031362959
7:30 AM,835.00,1924.75,0.014460377,0.030514776
7:45 AM,"1,257.25",1877.5,0.021772825,0.029765679
8:00 AM,"1,733.25",1767,0.030016106,0.028013825
8:15 AM,"2,230.00",1643,0.038618731,0.026047942
8:30 AM,"2,776.75",1502.5,0.048087247,0.023820471
8:45 AM,"3,355.75",1342.5,0.058114263,0.021283848
9:00 AM,"3,934.50",1161.5,0.068136949,0.018414294
9:15 AM,"4,507.75",1039.75,0.078064388,0.016484083
9:30 AM,"5,021.00",963.75,0.086952757,0.015279187
9:45 AM,"5,530.25",918.75,0.095771855,0.014565762
10:00 AM,"5,992.00",912.25,0.103768357,0.014462712
10:15 AM,"6,436.00",937.75,0.111457467,0.014866986
10:30 AM,"6,852.50",945.75,0.118670338,0.014993817
10:45 AM,"7,216.50",919.75,0.124974023,0.014581616
11:00 AM,"7,589.00",902.75,0.13142491,0.0143121
11:15 AM,"7,893.50",923.75,0.136698185,0.014645031
11:30 AM,"8,151.25",923.25,0.141161852,0.014637104
11:45 AM,"8,390.25",906.25,0.14530081,0.014367588
12:00 PM,"8,568.00",877,0.148379052,0.013903862
12:15 PM,"8,685.25",859,0.150409566,0.013618492
12:30 PM,"8,761.25",924.5,0.15172572,0.014656922
12:45 PM,"8,816.25",877.75,0.1526782,0.013915752
1:00 PM,"8,899.50",860.75,0.154119909,0.013646236
1:15 PM,"8,868.00",837.5,0.153574397,0.013277633
1:30 PM,"8,873.75",827.5,0.153673975,0.013119094
1:45 PM,"8,829.75",761.25,0.152911991,0.012068774
2:00 PM,"8,738.25",727.25,0.151327411,0.011529742
2:15 PM,"8,566.00",704,0.148344417,0.011161139
2:30 PM,"8,430.25",731,0.145993523,0.011589194
2:45 PM,"8,205.25",771.25,0.142097014,0.012227313
3:00 PM,"8,016.50",829,0.138828277,0.013142875
3:15 PM,"7,802.75",919.5,0.135126593,0.014577652
3:30 PM,"7,601.50",950.25,0.131641383,0.015065159
3:45 PM,"7,341.50",942,0.12713875,0.014934365
4:00 PM,"7,046.00",948.75,0.122021336,0.015041379
4:15 PM,"6,682.50",990.75,0.115726309,0.015707242
4:30 PM,"6,337.50",1063.25,0.109751663,0.016856649
4:45 PM,"5,926.25",1108.5,0.10262971,0.017574038
5:00 PM,"5,481.50",1205,0.094927612,0.019103938
5:15 PM,"5,015.25",1150.25,0.08685318,0.018235938
5:30 PM,"4,513.75",1244.5,0.078168295,0.019730167
5:45 PM,"3,958.25",1332.75,0.068548247,0.021129273
6:00 PM,"3,384.75",1472.5,0.05861648,0.023344854
6:15 PM,"2,828.50",1658.25,0.048983444,0.026289714
6:30 PM,"2,281.00",1651.5,0.03950194,0.0261827
6:45 PM,"1,750.75",1667.75,0.030319167,0.026440326
7:00 PM,"1,267.75",1712.75,0.021954662,0.027153751
7:15 PM,861.25,1718.75,0.01491497,0.027248874
7:30 PM,546.25,1747.5,0.009459857,0.027704674
7:45 PM,321.00,1786,0.005559019,0.028315049
8:00 PM,152.25,1836.25,0.002636638,0.029111707
8:15 PM,43.25,1974.75,0.000748996,0.03130747
8:30 PM,7.50,2133,0.000129884,0.033816349
8:45 PM,0.75,2302,1.29884E-05,0.036495656
9:00 PM,0.25,2503,4.32945E-06,0.039682288
9:15 PM,0.00,2692,0,0.042678673
9:30 PM,0.00,2860,0,0.045342127
9:45 PM,0.00,3026.5,0,0.0479818
10:00 PM,0.00,3216.5,0,0.050994039
10:15 PM,0.00,3280.5,0,0.052008688
10:30 PM,0.00,3396.75,0,0.053851703
10:45 PM,0.00,3513.5,0,0.055702644
11:00 PM,0.00,3656,0,0.057961824
11:15 PM,0.00,3725.75,0,0.059067633
11:30 PM,0.00,3754,0,0.059515505
11:45 PM,0.00,3783.25,0,0.059979231
12:00 AM,0.00,3775.5,0,0.059856364
